Link,Title,Description,Primary Category,Secondary Category,Tertiary Category
"""https://clinicaltrials.gov/show/NCT05231824"",","""Using Artificial Intelligence to Optimize Delivery of Weight Loss Treatment"",",""" Project ReLearn is testing the efficacy and cost-effectiveness of an Artificial Intelligence system for optimizing weight loss coaching. Participants are randomized to a 1-year weekly gold standard behavioral weight loss remote (video) group treatment or the AI-optimized treatment, which is made up of a combination of remote group treatment, short video call and automated message. In the AI-optimized condition, the system monitors outcomes (via wireless scale, mobile phone app, and wristworn tracker) and, each week, assigns each participant the treatments they have responding to the best, within certain time constraints. "",",Bariatrics,,
"""https://clinicaltrials.gov/show/NCT05233137"",","""Enhancing Muscle Function After Exacerbations of COPD to Limit Its Impact on Physical Activity Decline"",",""" Patients with COPD lose muscle strength during acute exacerbations of COPD (AECOPD) which interferes improving the recovery of physical activity (PA) after an AECOPD. Resistance training can reverse this process. An exercise training program with the focus on resistance training is essential in minimizing the long-term effects of AECOPD as it may help to accelerate the gain in PA in the weeks after an acute event. Therefore, it is important that such programs are embedded at the right moment (i.e. immediately after an AECOPD) and in a setting accessible to the patient (i.e. primary care). The efficacy and effectiveness of implementing such training programs will be assessed in the present study. "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT05238103"",","""Impact of a Corrie Cardiac Rehabilitation Program"",",""" In this randomized clinical trial, the researchers are investigating whether a multi-component virtual cardiac rehabilitation program in addition to usual care will improve functional status, cholesterol level, overall cardiovascular health, individual risk factors, quality of life and mental health for patients who have recently been diagnosed with atherosclerotic cardiovascular disease, as compared to usual care. "",",Cardiology,,
"""https://clinicaltrials.gov/show/NCT05234125"",","""Better Lifestyle Counseling for African American Women During Pregnancy"",",""" The purpose of this randomized controlled trial is to establish the effectiveness of a culturally targeted and individually tailored behavioral intervention to promote maternal glucose metabolism in African American women. "",",Endocrinology,Obstetrics,
"""https://clinicaltrials.gov/show/NCT02297282"",","""A Study to Assess the Effectiveness of Behavioural Activation Group Therapy in Individuals With Depression"",",""" Depression affects 15% of Canadians resulting in serious impact on health, ability to function including social, family and work related activities. Despite the several treatment options available for managing depression including medications, many patients do not respond to treatment and experience troublesome side effects. Psychotherapies are important in the treatment of depression and several options are currently being offered at the Mood Disorders Program (MDP), St. Joseph's Healthcare Hamilton. However a simple and reportedly effective therapy called Behavioural Activation (BA) is not currently available and existing evidence supporting its' effectiveness is limited to individual therapy of community based patients who are unlike the patients seen at the MDP who may have a more severe illness. The investigators are therefore planning to study the effectiveness of BA in patients with depression as an add on therapy to existing usual care compared to wait-list added to usual care. The study outcome is reduction in depressive symptoms and improvement in quality of life. The duration of therapy is 18 weeks and all adults with depression are eligible to participate. "",",Psychiatry,Endocrinology,
"""https://clinicaltrials.gov/show/NCT03716037"",","""Improving Physical and Psychosocial Well-being of African American Older Adults"",",""" The proposed research effort will: The purpose of this study is as follows: 1. Test the feasibility and acceptability of an eight-week community-based exercise program among AA older adults living in rural areas. 2. Determine whether participation in physical exercise through a community-based exercise program in comparison with an attentional control group: a) improves physical well-being b) improves psychosocial well-being "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT04753359"",","""Mediterranean Diet and Weight Loss: Targeting the Bile Acid/Gut Microbiome Axis to Reduce Colorectal Cancer"",",""" A Mediterranean Diet (MedDiet), a largely plant-based dietary pattern, is relevant to CRC prevention and microbial production of anti-cancer metabolites in observational studies. A MedDiet can shift BA metabolism as shown in primates and when combined with calorie restriction, shows superior adherence and weight control in humans, given its palatability. To date, no studies have tested in an RCT the effects of a MedDiet alone (MedA), WL through lifestyle intervention (WL-A) or a calorie-restricted MedDiet for WL (WL-Med) on the BA-gut microbiome axis and its relevance to CRC prevention among AAs. A multidisciplinary team combining expertise in psychology, nutrition, microbiology, molecular cell biology, computational biology, medicine and biostatistics, proposes to conduct a four-arm RCT in which 232 obese AAs, 45-75 years old complete one of the following 6-month interventions: Med-A, weight stable; WL-A, calorie restriction with no diet pattern change; WLMed; or Control. The investigators will use samples and data collected at baseline, mid-study (month-3) and post-intervention to compare the effects of the interventions on 1) Concentration and composition of circulating and fecal BAs; 2) Gut microbiota and metabolic function; and 3) Gene expression profiles of exfoliated intestinal epithelial cells. "",",Bariatrics,,
"""https://clinicaltrials.gov/show/NCT04759716"",","""Health Literacy-based Weight Control Intervention"",",""" This research will be a continuation of 2015-2017 research projects of smart phone APP research granted by Ministry of Science and Technology. First of all, a four-wave-cross-sectional survey by cluster sampling is used to recruit 90 adolescents aged 13-19 from high school, vocational schools or colleges to test the feasibility of the health literacy-based weight-control program. In the second stage, a two-arm randomized controlled trial (RCT) will be applied to recruit 240 overweight or obese teenagers to receive health literacy-based mobile Health App, smart sports watch Fitbit versa during the 12 months weight control program. Based on the previous research evidences, the outcome follow up will be scheduled on 3 months, 9 months, 15 months, and 21 months after the mobile Health Apps intervention. Short-term outcome indicators include health literacy, diet pattern, and dietary behaviors; long-term outcome indicators include BMI z-score, waist circumference. Intention-to-treat analysis, generalized linear mixed models with repeated measures, multiple regression analysis model, and counterfactual causal Inference will be applied to analyze the effectiveness of the interventions. "",",Bariatrics,,
"""https://clinicaltrials.gov/show/NCT04757519"",","""Enhanced DPP-GLB to Promote Weight Loss Among Nonresponders in a Community-Based Lifestyle Intervention."",",""" This study seeks to establish the efficacy of identifying weight loss nonresponders early in a Diabetes Prevention Program (DPP) intervention in 20 community settings (primarily churches and community centers) and providing them with individual-level, enhanced treatment through telephone contacts and access to additional resources. Additionally, potential mediators and moderators of the relationship between intervention status and weight loss response at 6 months in both nonresponders and responders will be examined and a cost-effectiveness analysis to evaluate the cost of the intervention will be conducted. This study addresses key gaps in the literature about the weight loss effects of identifying nonresponders early and characterizing individuals who need more intense personalized strategies. The investigators hypothesize that changes between baseline and 3 months will be more pronounced among the nonresponders in the intervention group compared to the nonresponders in the active control group. "",",Bariatrics,,
"""https://clinicaltrials.gov/show/NCT04756869"",","""Monitoring Health Care Workers at Risk for COVID-19 Using Wearable Sensors and Smartphone Technology"",",""" This prospective study of health care workers utilizes wearable sensors, surveys and symptom logs, and biospecimens in an effort to improve self-monitoring practices for COVID-19 among health care workers and to provide key data for the development of a predictive model for early detection of COVID-19 infection. "",",Other,,
"""https://clinicaltrials.gov/show/NCT03036436"",","""The IMPETUS Cancer Trial. A Technology Delivered Physical Activity Intervention in Cancer"",",""" Participants will take part in a 12 week intervention, with at least one follow up at 24 +/- 2 weeks. Each participant will be provided with support, motivation and professional guidance about improving physical activity (PA) levels and will be given a commercially available PA tracker. The PA tracker will also include a smartphone or web-based application, where participants can upload their exercise performed each day, and keep up to date with their goals using their smartphone or by logging on to their computer. The aim of the study is to find out how useful and effective technology with support from a healthcare professional is in helping cancer survivors to become more physically active. This study will measure objective PA levels of the participants at the start of the study and at the end. The acceptability of using this intervention to promote PA in cancer survivors will also be investigated. "",",Oncology,General Physiology,
"""https://clinicaltrials.gov/show/NCT02278939"",","""Fit and Trim for Diabetes Prevention"",",""" Filipino Americans (FA) are the second largest (3.4 million) Asian group in the US. and have one of the highest prevalences of obesity and type 2 diabetes mellitus compared to non-Hispanic whites, African Americans and Hispanics. However, FA have been underrepresented in health related research, particularly in diabetes prevention. This proposed pilot study is the first clinical trial to assess preliminary estimates of the short-term effect of the novel social networking diabetes prevention program lifestyle intervention for this high-risk population. "",",Endocrinology,Bariatrics,
"""https://clinicaltrials.gov/show/NCT05807243"",","""Description of Immunosenescence Biomarkers and Nutritional Intervention to Evaluate the Implementation of Digital Tools"",",""" Descriptive comparative study of immunosenescence markers and their association with nutritional, metabolic, metabolomic and genetic characteristics in young (control), senior (age-associated immunosenescence), and populations susceptible to premature immunosenescence such as obese patients, cancer patients and patients who developed severe forms of COVID19 or persistent COVID19. In one of these populations of premature immunosenescence, the population group with overweight or obesity, a prospective and cross-sectional nutritional intervention study is proposed, with data capture and monitoring using digital tools, to evaluate the evolution of immunosenescence markers and assess more objectively and effectively the nutritional status and help in making personalised decisions thanks to the application of these tools. This nutritional intervention will be focused on controlled and safe weight loss that will allow the capture of a large number of variables on lifestyle and dietary habits, nutritional assessment, biochemical, metabolic, genetic, metagenomic, lipidomic and metabolomic markers measured statically and also continuously. "",",Bariatrics,Endocrinology,
"""https://clinicaltrials.gov/show/NCT05803304"",","""Web-based Physical Activity Intervention to Promote Physical Activity"",",""" In this study insufficiently active adults with obesity will be assigned to either the Physical Activity for The Heart (PATH) intervention or an attention control group. "",",Cardiology,Bariatrics,
"""https://clinicaltrials.gov/show/NCT05806450"",","""Development of Sleep Intervention for Parent and Child"",",""" This study aims to develop and test the intervention program to help manage parental thoughts in parents with child sleep problems. "",",Somnology,,
"""https://clinicaltrials.gov/show/NCT05807594"",","""Healthy Mom Zone Gestational Weight Gain Management Intervention 2.0"",",""" The goal of this clinical trial is to see if the enhanced HMZ 2.0 intervention with new control system/digital platform to regulate gestational weight gain (GWG) and impact maternal-infant outcomes while collecting implementation data works and can be given to other pregnant women in various settings. The question this study aims to answer are: 1. Does the new intervention manage GWG? 2. Does the new intervention have any influence on sleep and eating behaviors and infant outcomes. 3. Does the new platform and other data collected help inform how well the research and information can be used in health care settings? 144 pregnant women with overweight/obesity will be randomized to either the HMZ 2.0 intervention or attention control groups from ~8-36 weeks gestation. All participants will be asked to: 1. Weight themselves and wear an activity monitor each day over the study. 2. Complete online surveys at either a weekly or monthly level about their thoughts, attitudes, and behaviors on GWG, physical activity, eating behaviors, sleep, their anxiety, depression, and stress. 3. Attend weekly sessions with a registered dietician. The weekly sessions will differ based on intervention group. The HMZ 2.0 intervention group will receive education, create and follow goal-setting and action plans, self-monitor their behaviors, and receive feature evidence and fetal growth facts. Education, goals, and self-monitoring will focus on GWG, physical activity, eating behaviors, sleep, self-regulating behaviors and emotions, and preparing for labor/delivery and postpartum. The attention control group will receive weekly sessions on preparing for labor/delivery and benefits of behavioral pain management strategies (e.g., mindfulness-based relaxation, imagery, music, massage, deep-breathing) to help with pain after childbirth without medicine. "",",Obstetrics,Somnology,Bariatrics
"""https://clinicaltrials.gov/show/NCT05802563"",","""Machine Learning Enabled Time Series Analysis in Medicine"",",""" The goal of this observational cohort study is to investigate the potential of fitness trackers in combination with machine learning algorithms to identify cardiovascular disease specific patterns. Two hundred participants will be enrolled: 1. 50 with heart failure 2. 50 with atrial fibrillation 3. 100 (healthy) individuals without the former two conditions All participants are given a Fitbit device and monitored for three months. Researchers will compare differences in heart rate variability patterns between the groups and devise a machine learning algorithm to detect these patterns automatically. "",",Cardiology,,
"""https://clinicaltrials.gov/show/NCT05514379"",","""Effect of Cognitive Training on Gait in Parkinson's Disease"",",""" Physiotherapy and targeted rehabilitation are routinely performed in order to influence disorders of posture, gait and stability in Parkinson\u00b4s disease (PD), but their effects have been controversial (Keus et al. 2014; Walton wt al. 2014). Recently, several studies suggested that cognitive training can improve gait in patients with PD (Peterson et al. 2016, Heremans et al. 2013), similar to the effects seen in the elderly (Yogev-Seligmann et al. 2008; Amboni et al. 2013). Specific training programs including dual tasking with automatic verbal series, counting etc. have led to increased walking speed and improved stepping cadence, length, and duration in patients with dementia (Schwenk et al. 2010). However, since in advanced PD patients dual-task gait training has to be supervised by therapists, it is not a suitable type of therapy to be performed at home. Therefore, this study aims to verify and extend the encouraging results of the single study which showed a positive effect of cognitive function training on gait in PD (Milman et al. 2014) by exploring this effect in advanced PD patients, by assessing the effect on gait using more targeted clinical and instrumental evaluation, and by comparing two modes of therapy delivery, group and computer-based. "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT05519696"",","""Together Everyone Achieves More (TEAM) Trial"",",""" The Together Everyone Achieve More (TEAM) Physical Activity trial evaluates the efficacy of a group-based social affiliation intervention (vs. a standard group-delivered physical activity comparison program) for increasing physical activity among inactive African American women. Using a group cohort randomized design implemented at community centers across five years, the primary aim of this study is to evaluate the efficacy of the 10-week TEAM-PA group-based intervention (vs. comparison program) on increasing daily total physical activity from baseline to post-intervention and maintenance at a 6-month follow-up. "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT04094844"",","""Health Information Technology System (\""Roadmap 2.0\"") in the Context of Hematopoietic Cell Transplantation"",",""" The purpose of this research study is to measure the effects of using a mobile phone app (Roadmap 2.0) on the health-related quality of life of caregivers and patients undergoing allogeneic/autologous hematopoietic cell transplantation (HCT). "",",Other,,
"""https://clinicaltrials.gov/show/NCT04095923"",","""A Social Media Game to Increase Physical Activity Among Older Adult Women"",",""" This study will test the effects of a social media game on the physical activity of older adult women. The game will consist of playful weekly challenges that require sharing photographs on a private social media group and also wearing an activity monitor to track steps. Participants will be randomized to this game group or to receive the activity monitor only. "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT05565170"",","""Digitally Supported Lifestyle Programme to Promote Brain Health Among Older Adults"",",""" Previous research has shown that a healthy lifestyle, including a balanced diet, physical and social activity, and management of vascular risk factors can support both cardiovascular and brain health. In a landmark Finnish Geriatric Intervention Study to Prevent Cognitive Impairment and Disability (FINGER), a multimodal lifestyle programme had clear benefits on older adults' cognition, functioning, and quality of life. The LETHE study utilises novel technologies and digital tools to deliver an optimised and more personalised FINGER-type multimodal lifestyle intervention. A total of 160 digitally skilled older adults (age 60-77) with risk factors for dementia but without substantial cognitive impairment will be recruited in Austria, Finland, Italy, and Sweden. Participants will be randomly assigned in a 1:1 ratio to the structured ICT-assisted multimodal lifestyle program (intervention group) or a self-guided lifestyle program (control group). Duration of the study and the intervention is 24 months. The multimodal lifestyle program covers the following domains: physical activity, nutrition, cognitive activity, vascular risk management, social interaction, sleep, and relaxation. The structured intervention program follows a hybrid model where regular in-person, individual and group-based intervention activities led by professionals are supported with activities in the LETHE mobile phone application. The self-guided (control) group receives relevant health advice and is recommended and encouraged to independently implement healthy lifestyle changes that are suitable and fit in with their daily routine. Control group will have access to a simplified version of the LETHE app without any structured, scheduled activities or personalized content. The primary objective of the LETHE trial is to test the feasibility of a digitally supported multimodal lifestyle program (i.e., retention rate, adherence to intervention), and assess change in dementia risk based on validated risk scores (CAIDE, LIBRA). Other objectives include testing the intervention effects on lifestyle and risk factors, cognition, function, health-related quality of life, health literacy, physical functioning, and dementia-related biomarkers. To this aim, a range of personal, lifestyle, and health-related data will be collected both actively and passively with the help of digital devices. Attitudes towards digital tools and experiences of trial participation will also be explored. "",",General Physiology,Cardiology,Somnology
"""https://clinicaltrials.gov/show/NCT04724278"",","""Measuring Omalizumab Responses Using Real-world Evidence (MORRE) Study"",",""" Develop new real-world evidence indicators of worsening and improving asthma. Scientists will measure (1) steps per day, (2) duration and intensity of exercise per day, (3) sleep duration and the number of awakenings per night using Fitbit activity trackers. Scientists will measure asthma symptoms using a once-monthly custom survey delivered to participant smartphones via Twilio. Scientists may measure rescue medication use and adherence to maintenance medications using digital inhaler devices. Scientists will correlate the above measures to participant-reported significant asthma exacerbations (SAEs), lung function (FEV1), and standardized surveys (i.e. the asthma control test (ACT) and global evaluation of treatment effectiveness (GETE)(4)) collected in clinic every 3 months. Coordinators will record any medication changes or reported medication side effects. Determine response to omalizumab therapy. After participants are placed on omalizumab therapy as part of standard medical care, scientists will determine whether and how real-world evidence can be used to gauge responses to omalizumab. Then, scientists will determine which features, or combination of features, are the best indicators of disease control in the real world. "",",Pulmonology,Somnology,
"""https://clinicaltrials.gov/show/NCT03045575"",","""Objective Assessment of Physical Activity During Chemotherapy for Breast Cancer"",",""" This is a prospective observational study designed to determine the feasibility and acceptability of objectively measuring physical activity, sedentary time, and sleep using the Fitbit Charge HR wristband. 50 patients who have been diagnosed with breast cancer and are planning to initiate chemotherapy will be invited to participate in this study, and we will measure general and breast-specific quality-of-life using Patient-Reported Outcomes Measurement Information System (PROMIS) measures for 3-6 months after completion of chemotherapy. "",",Oncology,Somnology,
"""https://clinicaltrials.gov/show/NCT05635864"",","""Impact of Catheter Ablation on ABC Risk Scores"",",""" The aim of this prospective, monocentric, non-randomized trial is to investigate the impact of catheter ablation of atrial tachyarrhythmias on the ABC-stroke and ABC-bleeding risk scores. Participants planned for first catheter ablation for symptomatic atrial tachyarrrhythmias (atrial fibrillation, atrial flutter) will be enrolled. Serial blood samples will be collected before and 3, 6 and 12 months after catheter ablation to calculate the ABC scores as well as the traditional bleeding and stroke risks. Following catheter ablation, continuous rhythm monitoring will be achieved using an insertable monitor or an implanted atrial lead of a cardiac implantable electronic device. Additionally, heart rate monitoring via photoplethysmography using a smartwatch and/or smartphone is performed for a period of six months. Data are analyzed for differences in ABC scores before and after ablation in relation to possible AF/AT recurrences. Furthermore, we are going to compare the sensitivity and specificity of different follow-up modalities post ablation. The monitoring via ICM (gold standard) is compared to smartwatch-based monitoring alone, versus smartphone-based monitoring alone or a combination of both for AT/AF recurrences. "",",Cardiology,,
"""https://clinicaltrials.gov/show/NCT02697721"",","""Powerful Tools for Caregivers of Dementia Patients"",",""" The purpose of this study is to examine if a psycho-educational intervention for caregivers of patients with dementia will decrease caregiver burden, increase caregiver physical activity, and decrease the reporting of behavioral and psychological symptoms of the person with dementia. "",",Psychiatry,,
"""https://clinicaltrials.gov/show/NCT02697214"",","""Accuracy of Commercially Available Heart Rate Monitors"",",""" Over the last two decades, there has been a proliferation of commercially available heart rate monitors. Recognizing that elite athletes often use heart rate to monitor training and assess aerobic fitness, fitness companies have offered a variety of heart rate monitoring systems to the general public. Recently, there has been a move from monitors that rely on chest straps to measure electrical activity toward more convenient, wrist-worn monitors that employ optical sensing technology similar to that used for pulse oximetry. While the accuracy of chest strap monitors has been assessed in a variety of studies, there is no data concerning the accuracy of wrist-worn heart rate monitors. Assessment of the monitors' accuracy is important both for the subjects who rely upon these monitors to guide their athletic activity and for the physicians to whom these individuals report their heart rate readings. "",",Cardiology,,
"""https://clinicaltrials.gov/show/NCT04966156"",","""Cancer Rehab Program for Allogenic Bone and Marrow Transplant Patients - CaRE-4-alloBMT"",",""" Currently, transplantation centers across North America generally do not offer longitudinal rehabilitation programs and research is urgently needed to test the acceptability and effectiveness of these programs using innovative delivery strategies that have the potential for future scalability and to understand the associated costs. Through a strong collaboration between the PM Cancer Rehabilitation and Survivorship (CRS) and alloBMT teams, the principal investigators developed an innovative multicomponent rehabilitation intervention for patients undergoing alloBMT (CaRE-4-alloBMT). CaRE-4-alloBMT uses a person- centred strategy and a multidimensional approach targeting physical activity, nutrition, psychosocial distress and promoting self-management skills. Innovative components of CaRE-4-alloBMT include:1) Individualized progressive exercise prescriptions developed and monitored by CRS registered kinesiologists and supported with a web/mobile application (Physitrack) that allows customizable exercise prescriptions, tracking of exercise completion, and video tutorials; 2) Individualized nutrition plans and stepped stratified care (education, counselling, intervention) based on nutritional status and delivered by registered dietitians (alloBMT and CRS). 3) On-line e-modules (developed in collaboration with PM Oncology Education) provide interactive education to promote self-management skills on crucial topics; 4) Remote monitoring using FitbitTM devices to monitor patients physical activity, caloric intake, and sleep for duration of the program; 5) Remote clinical support: Pre/Post discharge, patients will have scheduled (PHS) remote check-ins and health coaching sessions with a member of the CRS team (phone or MS Teams video). Objectives: i) To test the feasibility and safety of CaRE-4-alloBMT plus standard best practice cancer care compared to standard best practice cancer care alone; ii) To assess the preliminary efficacy of CaRE-4-alloBMT on physical function, disability, nutritional status, distress, QoL, healthcare utilization, and survival and estimate program return on investment. "",",General Physiology,Somnology,
"""https://clinicaltrials.gov/show/NCT04967313"",","""Behavior Change Techniques (BCTs) to Improve Low Intensity Physical Activity in Older Adults"",",""" The purpose of this pilot study is to determine the feasibility of using personalized trial methods in a virtual research study with Northwell employees aged 45-75 years old to increase low-intensity walking by 2,000 steps per day/5 days per week using four behavior change techniques (BCTs), provided in random order, and shown to have been effective in changing physical activity. The study will include a two-week baseline period during which levels of physical activity and adherence to the trial protocol will be evaluated. Individuals meeting adherence criteria will be randomized to the eight-week BCT intervention. "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT04960566"",","""Targeting Hypervigilance and Autonomic Arousal: the Psycho-physiologic Model of Gastroesophageal Reflux Disease (GERD)"",",""" GERD affects roughly 20% of the U.S. population and the direct and indirect costs of GERD are substantial, totaling close to 50 billion dollars per year. Evidence supports that a large proportion of this cost and poor clinical outcomes in GERD are related to poor healthcare decisions by both the physician and the patient. The problem of inappropriate GERD management stems from three main issues. First, the disease is heterogeneous and requires treatment informed by a precision model. Second, the current paradigm largely ignores the important brain-gut interactions that drive symptoms and healthcare utilization. Third, there is a paucity of well-performed comparative effectiveness trials focused on assessing treatments beyond acid suppression. We will use physiomarkers defined during the previous funding cycle to phenotype the patients and use cognitive behavioral interventions to modulate hypervigilance to test the Psycho-Physiologic Model of GERD. Cognitive Behavioral Therapy (CBT) is able to improve hypervigilance and symptom specific autonomic arousal and thus, we will test our theory that CBT can improve outcomes in GERD by targeting these two important psychologic stressors. We will also continue our focus on the interplay of psychology and physiology by determining whether increased mucosal permeability is associated with reflux perception and whether this is modified by hypervigilance and autonomic disruption. "",",Gastroenterology,Psychiatry,
"""https://clinicaltrials.gov/show/NCT04968821"",","""Telehealth Activity Intervention After Lumbar Spine Surgery"",",""" The overall objective of this randomized controlled study is to examine the preliminary efficacy of a physical activity intervention that includes wearable technology and remote physical therapist support in patients undergoing lumbar spine surgery. Patients will be randomized to receive 8 sessions of a telehealth physical activity intervention (n=30) or usual postoperative care (n=30). The Investigator's central hypothesis is that a postoperative telehealth physical activity intervention will lead to greater improvements in objective physical activity (primary outcome) and patient-reported physical function, disability, and pain (secondary outcomes) compared to usual care in patients undergoing lumbar spine surgery. "",",General Physiology,,
